,gvkey,permno,adate,qdate,datadate,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,cfm,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_at,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,ticker,cusip,splticrm
564,1075,27991,2008/12/31,2009/9/30,2010-01-31,13.841,1.486,7.078,14.561,14.561,15.308,61.759,1.136,4.589,0.841,0.074,0.314,0.187,0.314,0.113,0.086,0.05,0.082,0.234,0.071,0.058,0.071,0.071,0.061,0.086,0.491,0.506,0.596,0.507,0.245,0.069,0.059,0.013,0.236,0.284,4.006,0.152,0.143,0.407,0.836,0.66,0.1,-0.011,0.939,0.715,0.343,0.715,0.561,2.53,2.005,2.537,0.088,0.641,0.839,37.124,9.241,0.273,11.182,10.208,0.475,0.967,,0.0,0.0,0.0,-0.048,0.735,,5.86%,PNW,72348410,BBB-
565,1075,27991,2010/12/31,2011/3/31,2011-06-30,17.513,1.159,7.264,15.921,15.978,15.978,14.197,1.507,4.823,0.731,0.094,0.345,0.215,0.345,0.15,0.091,0.057,0.095,0.319,0.086,0.066,0.086,0.076,0.067,0.09,0.528,0.457,0.537,0.464,0.255,0.078,0.066,0.014,0.185,0.302,3.314,0.149,0.151,0.366,0.86,0.778,0.087,0.251,0.917,0.58,0.3,0.697,0.52,2.366,2.236,2.837,0.091,0.664,0.815,28.105,10.794,0.262,10.116,8.621,0.469,0.889,,0.0,0.0,0.0,-0.058,0.899,9.562,4.71%,PNW,72348410,BBB
566,1075,27991,2011/12/31,2012/9/30,2012-11-30,19.512,1.067,7.287,15.135,15.27,15.27,15.315,1.723,4.976,0.597,0.114,0.378,0.253,0.378,0.192,0.094,0.065,0.111,0.34,0.098,0.069,0.098,0.086,0.075,0.093,0.532,0.452,0.488,0.459,0.271,0.068,0.063,0.004,0.247,0.305,2.853,0.075,0.123,0.352,1.087,0.996,0.123,0.184,0.923,0.561,0.267,0.7,0.498,2.408,2.686,3.753,0.032,0.646,0.858,25.262,8.458,0.247,11.01,7.227,0.453,0.851,,0.0,0.0,0.0,-0.058,0.915,1.156,4.24%,PNW,72348410,BBB+
567,1075,27991,2012/12/31,2013/9/30,2013-12-31,18.542,1.122,7.35,14.264,14.38,14.38,14.538,1.689,5.181,0.569,0.119,0.373,0.25,0.373,0.198,0.096,0.066,0.116,0.362,0.102,0.068,0.102,0.084,0.076,0.095,0.562,0.419,0.472,0.427,0.273,0.067,0.06,0.006,0.238,0.304,2.662,0.112,0.133,0.326,1.036,0.907,0.126,0.274,0.89,0.48,0.253,0.688,0.473,2.284,3.006,4.238,0.043,0.66,0.866,36.63,8.485,0.255,10.563,8.948,0.476,0.846,,0.0,0.0,0.0,-0.053,0.862,1.596,4.29%,PNW,72348410,A-
568,8694,23501,2008/12/31,2009/9/30,2010-01-31,12.342,2.059,9.354,19.548,19.548,14.155,13.683,0.442,14.427,0.943,0.03,0.121,0.077,0.121,0.043,0.061,0.039,0.063,0.359,0.061,0.051,0.061,0.075,0.059,0.061,0.444,0.555,0.648,0.555,0.079,0.066,0.056,0.024,0.125,0.521,6.107,0.144,0.183,0.43,0.451,0.114,0.034,-2.181,1.422,0.796,0.374,0.743,0.62,2.897,1.734,1.861,0.13,0.928,1.061,32.453,24.666,0.507,6.754,9.928,0.879,1.975,61.451,0.0,0.0,0.0,0.0,0.536,,6.58%,POM,71329110,BBB
569,8694,23501,2009/12/31,2010/3/31,2010-07-31,12.989,1.766,9.928,20.131,20.131,17.8,16.743,0.525,6.9,1.138,0.029,0.134,0.085,0.134,0.044,0.06,0.032,0.06,0.319,0.05,0.047,0.05,0.072,0.057,0.061,0.458,0.542,0.664,0.542,0.086,0.069,0.056,0.006,0.133,0.578,6.329,0.185,0.201,0.425,0.411,0.233,0.053,-0.58,1.333,0.739,0.384,0.735,0.616,2.778,1.616,1.795,0.028,0.731,0.842,34.494,23.79,0.452,6.3,9.34,0.783,1.708,,0.0,0.0,0.0,-0.021,0.558,,6.39%,POM,71329110,BBB+
570,8247,22509,2008/12/31,2009/9/30,2010-01-31,15.682,0.399,8.424,12.025,12.074,18.338,18.338,0.796,7.491,1.317,0.022,0.11,0.071,0.38,0.044,0.094,0.071,0.119,0.313,0.078,0.079,0.078,0.181,0.097,0.326,0.496,0.477,0.597,0.49,0.06,0.066,0.053,0.08,0.271,0.453,2.861,0.201,0.368,0.282,0.336,0.324,0.121,0.771,3.998,0.872,0.27,0.763,0.656,3.405,2.293,4.293,0.218,1.119,1.535,55.147,4.553,0.857,4.39,3.303,1.896,3.824,5.702,0.032,0.019,0.0,-0.072,2.529,,3.68%,PPG,69350610,BBB+
571,8247,22509,2013/12/31,2013/12/31,2014-03-31,32.129,0.197,12.506,23.197,24.866,27.133,8.687,1.77,14.979,0.334,0.068,0.157,0.125,0.431,0.098,0.15,0.218,0.232,0.224,0.23,0.172,0.23,0.314,0.184,0.412,0.575,0.393,0.397,0.406,0.108,0.061,0.056,0.164,0.253,0.379,1.434,0.01,0.388,0.316,0.574,0.433,0.168,0.712,3.708,0.651,0.215,0.672,0.513,2.162,6.019,9.223,0.423,1.304,1.745,68.956,4.91,0.955,5.463,5.136,1.768,3.073,4.922,0.032,0.023,0.0,-0.048,5.178,1.501,1.26%,PPG,69350610,A-
572,8455,22517,2008/12/31,2009/9/30,2010-01-31,13.264,0.684,10.029,19.149,19.149,19.792,21.064,1.349,6.639,0.918,0.069,0.239,0.148,0.239,0.099,0.091,0.079,0.09,0.318,0.106,0.069,0.103,0.097,0.073,0.09,0.42,0.556,0.637,0.566,0.175,0.057,0.05,0.069,0.08,0.118,4.135,0.128,0.266,0.438,0.458,0.389,0.099,0.248,1.29,0.976,0.372,0.74,0.618,2.98,2.395,2.993,0.259,0.959,1.042,6.691,17.568,0.377,15.571,9.788,0.645,1.516,46.061,0.0,0.0,0.0,-0.051,1.422,,4.68%,PPL,69351T10,BBB
573,8455,22517,2009/12/31,2010/6/30,2010-10-31,16.285,0.853,10.179,15.526,15.526,20.822,20.195,1.629,6.994,1.074,0.061,0.244,0.164,0.244,0.088,0.085,0.063,0.096,0.218,0.087,0.06,0.087,0.096,0.072,0.082,0.438,0.54,0.581,0.552,0.173,0.054,0.05,0.12,0.058,0.085,4.251,0.07,0.261,0.447,0.433,0.413,0.113,0.286,1.319,0.906,0.348,0.724,0.589,2.758,2.181,3.149,0.459,1.305,1.385,4.978,16.797,0.336,15.011,8.882,0.56,1.278,4.615,0.0,0.0,0.0,-0.058,1.266,,5.21%,PPL,69351T10,BBB+
574,8455,22517,2010/12/31,2010/12/31,2011-03-31,14.283,0.865,9.695,9.134,9.167,11.5,11.659,1.438,6.028,0.712,0.112,0.316,0.25,0.316,0.145,0.098,0.102,0.122,0.212,0.139,0.098,0.139,0.12,0.095,0.082,0.398,0.589,0.647,0.597,0.206,0.052,0.048,0.046,0.104,0.247,4.965,0.09,0.214,0.499,0.516,0.39,0.083,0.214,1.168,1.105,0.407,0.742,0.637,2.967,2.891,4.226,0.214,1.063,1.187,35.415,11.662,0.31,6.557,7.428,0.413,1.038,8.748,0.0,0.0,0.0,-0.039,1.113,1.243,5.53%,PPL,69351T10,BBB
575,8455,22517,2014/12/31,2015/3/31,2015-06-30,15.484,0.837,11.395,11.467,11.512,12.279,9.568,2.491,6.26,0.617,0.202,0.499,0.383,0.499,0.296,0.082,0.089,0.085,0.33,0.118,0.065,0.118,0.089,0.075,0.081,0.412,0.588,0.652,0.588,0.426,0.044,0.04,0.049,0.127,0.193,5.554,0.098,0.182,0.569,0.625,0.499,0.097,-0.316,1.003,1.069,0.451,0.715,0.625,2.507,2.845,3.491,0.269,0.801,0.918,7.108,5.397,0.163,7.071,3.321,0.235,0.571,,0.0,0.0,0.0,-0.032,1.046,,5.06%,PPL,69351T10,A-
577,14359,75241,2008/12/31,2009/9/30,2010-01-31,26.879,1.17,8.204,-30.755,-30.755,-29.126,-28.374,3.173,8.148,0.163,-0.109,0.433,-0.019,0.578,-0.137,0.077,-0.035,-0.005,0.459,-0.049,0.002,-0.049,-0.004,-0.004,0.103,0.534,0.453,0.453,0.459,0.343,0.058,0.058,0.01,0.223,0.429,4.29,0.0,0.107,0.555,1.212,1.089,0.186,-0.21,0.681,0.6,0.332,0.599,0.479,1.529,-0.014,-0.173,0.093,0.626,0.805,,6.583,0.179,8.098,2.753,0.244,0.456,,0.0,0.0,0.0,-0.089,1.044,,0.18%,PXD,72378710,BB+
578,14359,75241,2010/12/31,2011/9/30,2011-11-30,54.641,0.941,9.743,20.552,20.824,17.838,9.92,5.621,8.151,0.015,0.271,0.629,0.315,0.634,0.413,0.131,0.091,0.094,0.345,0.147,0.09,0.128,0.076,0.07,0.127,0.631,0.355,0.355,0.36,0.563,0.07,0.07,0.054,0.186,0.247,2.002,0.0,0.135,0.464,1.721,1.886,0.236,-0.358,0.662,0.399,0.252,0.542,0.4,1.211,4.066,3.569,0.399,1.252,1.537,,3.511,0.2,7.206,1.712,0.282,0.446,5.09,0.0,0.0,0.0,-0.085,1.599,,0.09%,PXD,72378710,BBB-
581,9299,27633,2008/12/31,2009/9/30,2010-01-31,8.788,1.098,3.765,15.104,15.104,17.333,31.652,0.41,1.802,0.454,0.023,0.246,0.071,0.246,0.038,0.183,0.048,0.082,0.429,0.08,0.054,0.08,0.07,0.059,0.187,0.36,0.64,0.711,0.64,0.192,0.061,0.055,0.022,0.054,0.678,2.236,0.099,0.178,0.476,1.331,1.231,0.235,0.248,1.031,1.065,0.417,0.789,0.683,3.736,1.776,2.346,0.125,0.92,0.972,24.661,78.117,0.759,8.203,14.855,1.292,3.593,,0.0,0.0,0.226,-0.153,0.848,,2.75%,R,78354910,BBB+
582,9299,27633,2011/12/31,2012/6/30,2012-08-31,11.5,1.373,4.614,10.932,10.962,11.083,11.083,0.329,1.967,0.323,0.03,0.201,0.055,0.328,0.045,0.163,0.073,0.072,0.387,0.133,0.058,0.133,0.062,0.05,0.26,0.308,0.692,0.776,0.692,0.177,0.044,0.039,0.016,0.06,0.709,2.78,0.108,0.212,0.481,0.917,0.762,0.165,-1.005,1.1,1.23,0.444,0.824,0.743,4.67,2.368,2.498,0.078,0.752,0.8,7.131,63.836,0.793,8.025,8.28,1.385,4.497,,0.0,0.0,0.0,-0.11,0.809,0.657,3.10%,R,78354910,BBB
583,9299,27633,2015/12/31,2016/9/30,2016-12-31,16.751,1.077,5.073,12.924,13.014,13.684,13.709,0.591,2.561,0.308,0.043,0.261,0.086,0.382,0.067,0.16,0.081,0.077,0.348,0.145,0.052,0.145,0.07,0.058,0.232,0.302,0.698,0.822,0.698,0.219,0.031,0.027,0.007,0.059,0.755,3.175,0.15,0.203,0.524,0.958,0.849,0.16,-0.346,1.004,1.284,0.503,0.815,0.747,4.414,2.966,3.927,0.036,0.573,0.609,9.789,63.259,0.608,8.0,8.78,0.994,3.293,,0.0,0.0,0.0,-0.115,1.048,1.741,2.36%,R,78354910,BBB+
585,4674,35044,2008/12/31,2009/9/30,2010-01-31,-27.125,2.017,67.751,-5.88,-5.88,-0.653,-0.653,0.814,2.392,,-0.721,0.058,0.142,0.384,-0.771,0.004,-0.434,0.03,,-0.446,0.0,-0.372,,,0.025,0.4,0.503,0.786,0.503,-0.69,,,0.066,,,51.801,0.36,,0.143,,,0.016,0.921,45.153,1.257,0.196,0.876,0.873,7.059,,,,,,,2.822,0.065,0.1,0.069,0.261,0.525,,0.0,0.009,0.231,-0.069,0.509,,0.63%,RF,7591EP10,BBB
586,4674,35044,2009/12/31,2009/12/31,2010-03-31,-16.35,2.263,70.579,-6.133,-6.133,-6.181,-6.181,1.039,4.704,,-0.114,0.05,-0.003,0.386,-0.133,0.003,-0.074,-0.001,,-0.091,0.0,-0.059,,,0.025,0.463,0.421,0.717,0.421,-0.083,,,0.064,,,48.749,0.413,,0.104,,,0.016,0.883,46.641,0.91,0.156,0.874,0.871,6.959,,,,,,,3.04,0.063,0.099,0.065,0.292,0.505,,0.0,0.008,0.251,-0.021,0.657,,0.51%,RF,7591EP10,BBB-
587,4674,35044,2009/12/31,2010/9/30,2010-11-30,-9.537,1.51,774.246,-5.604,-5.604,-4.598,-4.598,0.858,2.083,,-0.149,0.005,-0.003,0.391,-0.236,0.0,-0.082,-0.001,,-0.098,0.0,-0.066,,,0.022,0.437,0.454,0.598,0.454,-0.112,,,0.061,,,480.463,0.24,,0.122,,,0.016,0.929,45.734,1.039,0.14,0.872,0.869,6.818,,,,,,,2.547,0.057,0.094,0.05,0.245,0.449,,0.0,0.008,0.251,-0.032,0.49,,0.74%,RF,7591EP10,BB+
588,4674,35044,2011/12/31,2011/12/31,2012-03-31,-8.358,2.416,11.395,31.381,31.381,-245.33,-19.382,1.457,1.96,,0.03,0.275,0.218,0.629,0.025,0.014,0.014,0.051,-0.174,-0.002,0.0,0.011,,,0.032,0.575,0.275,0.491,0.275,0.072,,,0.066,,,6.365,0.44,,0.057,,,0.043,0.958,46.548,0.478,0.088,0.87,0.866,6.7,,,,,,,1.384,0.049,0.083,0.02,0.281,0.388,,0.0,0.0,0.251,-0.035,0.712,,0.61%,RF,7591EP10,BBB-
589,4674,35044,2013/12/31,2014/9/30,2014-11-30,45.671,1.175,8.023,11.847,11.988,12.588,12.588,2.49,6.385,0.278,0.208,0.474,0.471,0.917,0.305,0.022,0.074,0.119,0.285,0.072,0.0,0.072,,,0.043,0.769,0.198,0.298,0.198,0.307,,,0.049,,,2.327,0.335,,0.04,,,0.037,0.895,46.292,0.258,0.052,0.86,0.858,6.161,,,,,,,0.616,0.047,0.075,0.003,0.27,0.337,,0.0,0.017,0.322,-0.009,0.852,0.106,1.99%,RF,7591EP10,BBB
590,122841,87184,2009/2/28,2009/11/30,2010-01-31,72.134,0.22,26.817,66.39,68.05,66.39,66.39,7.148,21.672,0.0,0.111,0.203,0.141,0.909,0.156,0.08,0.073,0.087,0.352,0.073,0.073,0.073,0.218,0.102,0.364,1.0,0.0,0.0,0.0,0.174,,0.017,1.027,0.0,0.131,0.0,,0.705,0.0,0.3,0.487,0.365,0.883,9.836,0.0,0.0,0.386,0.016,0.628,140.848,177.543,1.457,1.828,1.91,,149.863,0.401,5.892,2.374,0.653,0.653,1.62,0.202,0.028,0.0,-0.086,4.639,7.628,,RHT,75657710,BB+
591,122841,87184,2011/2/28,2011/8/31,2011-12-31,93.707,0.179,35.901,59.841,61.627,61.627,61.627,7.757,23.901,0.0,0.129,0.22,0.171,0.875,0.178,0.107,0.105,0.14,0.302,0.105,0.0,0.105,0.286,0.14,0.409,1.0,0.0,0.0,0.0,0.178,,,0.989,0.0,0.141,0.0,,0.748,0.0,0.336,0.496,0.32,0.886,11.6,0.0,0.0,0.409,0.023,0.692,,,1.322,1.812,1.764,,890.392,0.467,6.156,3.354,0.791,0.791,1.999,0.183,0.028,0.0,-0.094,5.85,2.747,,RHT,75657710,BBB-
592,122841,87184,2014/2/28,2014/2/28,2014-04-30,68.779,0.141,36.233,51.211,51.755,52.312,52.312,6.003,17.04,0.0,0.116,0.201,0.153,0.885,0.156,0.104,0.115,0.153,0.256,0.116,0.0,0.116,0.418,0.144,0.437,1.0,0.0,0.0,0.0,0.165,,,0.631,0.0,0.23,0.0,,0.738,0.0,0.269,0.471,0.348,0.853,8.944,0.0,0.0,0.501,0.012,1.003,,,0.855,1.369,1.369,31.868,,0.518,4.626,7.759,0.989,0.989,3.627,0.207,0.035,0.0,-0.122,5.835,2.624,,RHT,75657710,BBB
593,64891,85072,2009/3/31,2009/9/30,2010-01-31,12.937,0.395,7.015,19.294,19.712,20.5,20.5,0.95,6.553,0.049,0.083,0.17,0.133,0.552,0.113,0.189,0.15,0.199,0.309,0.15,0.138,0.15,0.333,0.24,0.604,0.882,0.118,0.131,0.118,0.12,0.068,0.062,0.566,0.274,0.178,0.504,0.3,0.46,0.229,1.099,0.937,0.477,0.784,2.503,0.133,0.094,0.368,0.171,0.583,16.724,25.198,1.232,2.051,2.824,97.194,3.745,1.094,12.843,12.672,1.528,1.732,3.544,0.0,0.034,0.0,-0.068,1.546,3.217,0.49%,RL,73157210,BBB+
594,64891,85072,2010/3/31,2010/12/31,2011-03-31,18.91,0.32,8.145,19.472,20.008,20.138,20.138,1.451,11.603,0.064,0.109,0.197,0.162,0.592,0.158,0.235,0.197,0.217,0.304,0.197,0.185,0.197,0.411,0.303,0.693,0.917,0.083,0.093,0.083,0.143,0.065,0.055,0.682,0.273,0.161,0.354,0.0,0.501,0.18,1.374,0.874,0.592,0.615,2.237,0.09,0.069,0.334,0.133,0.502,33.715,48.651,1.361,2.142,2.946,95.463,3.546,1.171,14.723,12.079,1.613,1.759,3.591,0.0,0.032,0.0,-0.019,2.368,0.932,0.65%,RL,73157210,A-
595,64891,85072,2013/3/31,2013/6/30,2013-08-31,17.475,0.239,10.931,20.676,21.179,20.912,20.912,1.431,9.59,0.197,0.105,0.195,0.161,0.595,0.153,0.252,0.199,0.276,0.311,0.2,0.198,0.2,0.406,0.294,0.762,0.98,0.04,0.079,0.039,0.139,0.142,0.071,0.728,0.331,0.16,0.224,0.887,0.651,0.089,1.227,0.94,0.624,0.731,1.841,0.04,0.056,0.312,0.108,0.454,35.148,52.241,1.118,1.812,2.708,130.503,2.844,1.28,14.546,16.401,1.825,1.861,3.686,0.0,0.031,0.0,-0.057,2.665,1.37,0.97%,RL,75121210,A
597,24925,77338,2008/12/31,2009/9/30,2010-01-31,22.905,0.54,10.566,18.617,19.042,19.411,19.411,2.261,12.434,0.121,0.115,0.243,0.194,0.557,0.165,0.126,0.103,0.122,0.343,0.116,0.088,0.116,0.968,0.413,0.291,0.67,0.33,0.382,0.33,0.166,0.058,0.05,0.112,0.208,0.464,2.377,0.136,0.272,0.556,0.995,0.745,0.221,0.926,17.243,0.435,0.302,0.469,0.383,0.885,4.948,6.654,0.411,1.359,1.717,99.671,5.069,0.523,5.14,8.219,0.66,0.985,5.711,0.042,0.0,0.0,-0.035,1.867,2.212,0.76%,ROP,77669610,BBB-
598,24925,77338,2011/12/31,2011/12/31,2012-02-29,29.058,0.438,11.926,20.706,21.284,21.088,21.088,3.17,14.74,0.105,0.153,0.284,0.236,0.59,0.216,0.153,0.124,0.158,0.294,0.144,0.11,0.144,1.072,0.568,0.31,0.759,0.241,0.258,0.241,0.204,0.056,0.052,0.159,0.184,0.451,1.364,0.064,0.261,0.478,1.435,1.086,0.283,0.932,19.529,0.276,0.204,0.399,0.277,0.665,7.713,10.378,0.61,1.643,2.013,80.552,5.984,0.538,5.697,8.387,0.664,0.875,4.983,0.044,0.0,0.0,-0.034,2.411,1.447,0.60%,ROP,77669610,BBB
599,9248,91556,2009/1/31,2009/10/31,2010-01-31,22.36,0.222,6.22,3.588,3.645,3.645,3.645,0.814,7.071,0.136,0.057,0.117,0.094,0.275,0.093,0.324,0.355,0.553,0.383,0.389,0.24,0.389,0.486,0.271,0.746,0.875,0.125,0.125,0.125,0.08,0.077,0.077,0.312,0.612,0.031,0.186,0.0,0.723,0.099,0.742,0.733,0.429,0.783,1.594,0.13,0.059,0.589,0.439,1.433,27.56,43.061,0.432,0.544,1.402,21.52,5.38,2.71,147.518,7.364,5.772,6.594,15.849,0.0,0.008,0.0,-0.158,4.659,0.133,0.96%,ROST,77829610,BBB
600,9248,91556,2011/1/31,2011/4/30,2011-06-30,26.634,0.176,6.776,3.974,4.055,4.055,4.055,1.176,17.935,0.143,0.073,0.14,0.119,0.295,0.118,0.378,0.429,0.645,0.382,0.459,0.393,0.459,0.594,0.334,0.785,0.898,0.102,0.102,0.102,0.093,0.065,0.065,0.448,0.544,0.028,0.134,0.0,0.743,0.089,0.891,0.418,0.377,0.556,1.731,0.106,0.05,0.561,0.407,1.278,61.503,98.861,0.602,0.705,1.546,21.844,5.345,2.662,149.59,7.818,5.446,6.064,11.68,0.0,0.007,0.0,0.02,6.224,0.114,1.10%,ROST,77829610,BBB+
601,9248,91556,2013/1/31,2013/4/30,2013-06-30,26.373,0.136,9.43,8.664,8.83,8.83,8.83,1.431,13.691,0.162,0.082,0.152,0.132,0.299,0.132,0.419,0.454,0.714,0.378,0.482,0.3,0.482,0.65,0.381,0.805,0.921,0.079,0.079,0.079,0.101,0.076,0.076,0.362,0.591,0.032,0.1,0.0,0.748,0.078,1.041,0.717,0.515,0.552,1.362,0.081,0.041,0.524,0.366,1.102,69.972,111.489,0.484,0.599,1.465,22.984,5.555,2.691,146.119,8.177,5.21,5.656,14.771,0.0,0.007,0.0,-0.061,7.215,4.28,1.05%,ROST,77829610,A-
602,6788,50017,2008/12/31,2009/9/30,2010-01-31,42.721,0.405,12.485,124.324,127.778,127.778,127.778,7.183,10.869,0.444,0.056,0.66,0.192,0.831,0.074,0.121,0.018,0.046,0.362,0.023,0.034,0.023,0.039,0.037,0.152,0.574,0.426,0.426,0.426,0.527,0.063,0.063,0.0,,0.359,2.722,0.0,0.093,0.59,2.318,2.322,0.266,-0.223,0.619,0.563,0.328,0.557,0.449,1.257,1.495,1.703,0.004,0.411,1.136,,,0.183,8.627,,0.237,0.413,-81.33,0.0,0.0,0.0,-0.112,2.309,,0.35%,RRC,75281A10,BB
603,6788,50017,2013/12/31,2014/6/30,2014-10-31,209.507,0.267,19.697,41.707,41.963,44.706,44.706,6.393,12.748,0.106,0.139,0.469,0.161,0.636,0.206,0.118,0.079,0.053,0.226,0.104,0.069,0.104,0.045,0.042,0.155,0.456,0.544,0.544,0.544,0.45,0.059,0.059,0.0,0.038,0.738,3.625,0.0,0.106,0.635,1.646,1.761,0.152,-0.477,0.698,0.91,0.414,0.653,0.565,1.882,2.395,1.61,0.001,0.464,0.485,,68.513,0.244,9.808,2.281,0.32,0.703,,0.0,0.0,0.0,-0.089,2.948,0.148,0.23%,RRC,75281A10,BB+
604,4040,38682,2008/12/31,2009/9/30,2010-01-31,38.364,0.582,4.803,33.784,33.784,-19.181,-19.181,0.404,2.858,,-0.063,0.138,0.079,0.245,-0.083,0.139,-0.204,0.116,,-0.234,-0.061,-0.234,0.238,0.137,0.267,0.413,0.583,0.705,0.585,-0.004,0.073,0.06,0.081,0.188,0.585,2.809,0.173,0.324,0.465,0.618,0.634,0.142,0.848,2.842,1.27,0.422,0.751,0.672,3.036,-1.712,3.403,0.25,1.142,1.407,58.019,12.803,1.091,5.453,9.461,1.822,4.41,11.026,0.0,0.0,0.0,-0.211,1.6,,5.25%,RRD,25786710,BBB
605,4040,38682,2010/12/31,2011/3/31,2011-05-31,98.962,0.613,5.591,35.966,36.583,66.688,66.688,0.435,6.612,1.058,0.02,0.124,0.071,0.239,0.029,0.144,0.086,0.13,0.328,0.094,0.075,0.094,0.21,0.138,0.274,0.394,0.603,0.622,0.605,0.073,0.067,0.065,0.089,0.176,0.592,2.741,0.031,0.276,0.505,0.689,0.365,0.11,0.647,3.168,1.421,0.391,0.75,0.665,3.031,1.903,3.222,0.322,1.426,1.731,51.643,13.835,1.149,5.412,8.714,1.827,4.641,7.588,0.0,0.0,0.0,-0.053,1.838,0.03,4.87%,RRD,25786710,BB+
606,4040,38682,2011/12/31,2012/6/30,2012-08-31,-100.9,0.5,4.874,17.615,17.805,-126.69,-126.69,0.189,2.512,,-0.004,0.121,0.072,0.232,-0.013,0.147,-0.028,0.142,,-0.03,0.042,-0.03,0.275,0.151,0.29,0.266,0.73,0.807,0.733,0.045,0.073,0.066,0.056,0.174,0.648,2.983,0.096,0.304,0.48,0.587,0.365,0.131,0.725,3.893,2.637,0.451,0.849,0.793,5.711,0.829,3.027,0.186,1.158,1.402,46.823,15.253,1.249,5.335,7.942,2.234,8.4,12.041,0.0,0.0,0.0,-0.098,1.866,,9.47%,RRD,25786710,BB
607,4040,38682,2012/12/31,2013/9/30,2013-11-30,-17.404,0.007,5.018,33.841,34.259,-13.504,-13.504,0.324,4.052,,-0.071,0.111,0.068,0.223,-0.072,0.157,-2.351,0.183,,-2.351,-0.13,-2.351,0.283,0.157,0.327,0.011,0.985,1.028,0.989,-0.028,0.077,0.074,0.055,0.176,0.639,3.025,0.042,0.281,0.478,0.586,0.42,0.096,0.776,4.6,89.58,0.495,0.993,0.992,187.458,-1.879,2.754,0.196,1.217,1.476,39.973,15.778,1.469,5.575,7.497,3.05,277.478,11.042,0.0,0.0,0.0,-0.215,49.773,-0.09,5.62%,RRD,25786710,BB-
608,4040,38682,2015/12/31,2016/6/30,2016-10-31,-18.821,0.171,8.327,22.468,22.468,55.469,33.491,0.138,2.526,3.306,0.007,0.091,0.055,0.214,0.017,0.112,0.096,0.115,0.483,0.096,0.079,0.096,0.221,0.108,0.266,0.175,0.821,0.955,0.824,0.061,0.079,0.068,0.046,0.2,0.654,4.347,0.14,0.368,0.468,0.341,0.203,0.099,0.576,4.573,4.676,0.494,0.907,0.878,10.014,1.269,2.017,0.124,1.011,1.263,53.22,11.636,1.246,4.519,6.177,2.408,13.751,14.171,0.0,0.0,0.0,-0.058,2.046,,17.60%,RRD,25786710,B+
609,112168,86228,2008/12/31,2009/9/30,2010-01-31,39.96,0.749,7.213,18.604,19.273,40.591,40.591,1.368,9.695,0.765,0.044,0.301,0.185,0.406,0.082,0.14,0.056,0.116,0.536,0.056,0.074,0.056,0.294,0.207,0.154,0.515,0.485,0.511,0.485,0.16,0.075,0.071,0.009,0.028,0.695,3.284,0.052,0.19,0.568,0.961,0.451,0.041,0.367,1.845,0.941,0.374,0.623,0.515,1.656,1.629,2.644,0.047,0.553,0.573,6.514,119.097,0.378,8.015,6.312,0.517,1.004,,0.0,0.0,0.191,-0.043,1.348,,2.84%,RSG,76075910,BBB
610,112168,86228,2012/12/31,2013/9/30,2013-12-31,25.976,0.644,8.451,21.699,21.699,25.152,25.152,1.44,7.499,0.711,0.058,0.267,0.153,0.37,0.089,0.113,0.062,0.086,0.306,0.062,0.058,0.062,0.196,0.155,0.156,0.524,0.476,0.478,0.476,0.171,0.053,0.052,0.008,0.028,0.75,3.175,0.003,0.144,0.586,1.288,0.926,0.127,0.445,1.718,0.91,0.357,0.608,0.494,1.553,2.297,3.447,0.057,0.707,0.728,9.412,146.925,0.421,8.837,10.62,0.563,1.076,,0.0,0.0,0.26,-0.057,1.545,2.041,3.13%,RSG,76075910,BBB+
611,8972,24942,2008/12/31,2009/9/30,2010-01-31,15.793,0.519,6.142,11.203,11.348,11.348,11.373,0.827,9.568,0.254,0.076,0.135,0.119,0.221,0.115,0.142,0.181,0.233,0.33,0.183,0.16,0.183,0.626,0.301,0.233,0.792,0.196,0.196,0.198,0.094,0.055,0.055,0.168,0.553,0.078,0.698,0.0,0.37,0.169,0.656,0.418,0.144,0.869,6.861,0.247,0.1,0.589,0.274,1.457,15.591,22.795,0.454,0.666,1.49,64.952,4.584,1.055,41.645,15.406,2.067,2.609,9.891,0.022,0.0,0.0,-0.011,2.107,0.422,2.37%,RTN,75511150,A-
