,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數),Call進場口數,Put進場口數,Call策略近週報酬(點數),Put策略近週報酬(點數)
308,2021-04-27,15451,,505.0,,1.1,,,0,0,0,0,2093910.0,3.0,-0.0,7.0,8.0,0.0,5.7
309,2021-04-28,15487,176.0,444.0,115.0,0.1,0.20515532329175806,0.13405035328722825,0,0,0,0,2094310.0,3.0,-0.0,7.0,8.0,-0.0,1.0
310,2021-04-29,15172,,172.0,,78.0,,,0,0,0,0,2107910.0,3.0,0.0,7.0,8.0,-0.0,34.0
311,2021-05-03,14849,,19.0,,233.0,,,0,0,0,0,2045910.0,3.0,0.0,7.0,8.0,-0.0,-155.0
312,2021-05-04,14683,,0.9,,535.0,,,0,0,0,0,1925110.0,3.0,0.0,7.0,8.0,-0.0,-302.0
313,2021-05-05,14863,222.0,0.1,183.0,610.0,0.2696397510841134,0.22227060562339085,0,1,0,1,1895110.0,3.0,0.0,7.0,8.0,-0.0,-75.0
314,2021-05-06,15201,,297.0,,86.0,,,0,0,0,1,1895110.0,3.0,-100.0,7.0,8.0,0.0,0.0
315,2021-05-07,15147,,560.0,,13.5,,,0,0,0,1,1895110.0,3.0,-72.5,7.0,8.0,0.0,0.0
316,2021-05-10,14479,,500.0,,5.1,,,0,0,0,1,1895110.0,3.0,-8.4,7.0,8.0,-0.0,0.0
317,2021-05-11,13615,,49.0,,193.0,,,0,0,0,1,1895110.0,3.0,187.9,7.0,8.0,-0.0,-0.0
318,2021-05-12,13484,429.0,0.5,332.0,855.0,0.5743491322166958,0.44448464311408625,1,1,1,1,1895110.0,3.0,662.0,8.0,8.0,-0.0,-0.0
319,2021-05-13,13684,,259.0,,295.0,,,0,0,1,1,1825910.0,3.0,-40.0,8.0,8.0,-173.0,0.0
320,2021-05-14,13181,,334.0,,168.0,,,0,0,1,1,1855910.0,3.0,-127.0,8.0,8.0,75.0,0.0
321,2021-05-17,14065,,76.0,,414.0,,,0,0,1,1,1752710.0,3.0,246.0,8.0,8.0,-258.0,-0.0
322,2021-05-18,14001,,565.0,,18.5,,,0,0,1,1,1948310.0,3.0,-395.5,8.0,8.0,489.0,0.0
323,2021-05-19,13953,316.0,540.0,258.0,0.2,0.40884332280079405,0.33380245975507866,1,1,1,1,1938310.0,3.0,-18.3,8.0,8.0,-25.0,0.0
324,2021-05-20,14238,,260.0,,245.0,,,0,0,1,1,1914710.0,3.0,-16.0,8.0,8.0,-59.0,-0.0
325,2021-05-21,14270,,402.0,,108.0,,,0,0,1,1,1971510.0,3.0,-137.0,8.0,8.0,142.0,0.0
326,2021-05-24,14563,,385.0,,62.0,,,0,0,1,1,1964710.0,3.0,-46.0,8.0,8.0,-17.0,0.0
327,2021-05-25,14593,,600.0,,5.1,,,0,0,1,1,2050710.0,3.0,-56.9,8.0,8.0,215.0,0.0
328,2021-05-26,14512,214.0,635.0,172.0,0.2,0.26620972974143803,0.2139629603529315,0,1,0,1,2064710.0,3.0,-4.9,8.0,8.0,35.0,0.0
329,2021-05-27,14842,,163.0,,204.0,,,0,0,0,1,2064710.0,3.0,29.0,8.0,8.0,-0.0,-0.0
330,2021-05-28,14990,,343.0,,62.0,,,0,0,0,1,2064710.0,3.0,-142.0,8.0,8.0,0.0,0.0
331,2021-05-31,15110,,454.0,,20.5,,,0,0,0,1,2064710.0,3.0,-41.5,8.0,8.0,0.0,0.0
332,2021-06-01,15081,,560.0,,2.0,,,0,0,0,1,2064710.0,3.0,-18.5,8.0,8.0,0.0,0.0
333,2021-06-02,15205,236.0,530.0,157.0,0.2,0.2801966892130997,0.1864020347731214,0,1,0,1,2064710.0,3.0,-1.8,8.0,8.0,-0.0,0.0
334,2021-06-03,15082,,290.0,,88.0,,,0,0,0,1,2064710.0,3.0,-72.0,8.0,8.0,-0.0,-0.0
335,2021-06-04,15069,,201.0,,122.0,,,0,0,0,1,2064710.0,3.0,34.0,8.0,8.0,-0.0,-0.0
