日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價
2022/11/21,,96.0,,84.0
2022/11/22,,112.0,,25.5
2022/11/23,160.0,171.0,126.0,0.2
2022/11/24,,259.0,,47.0
2022/11/25,,204.0,,57.0
2022/11/28,,42.5,,126.0
2022/11/29,,118.0,,19.0
2022/11/30,179.0,231.0,144.0,0.2
2022/12/1,,279.0,,54.0
2022/12/2,,195.0,,66.0
2022/12/5,,203.0,,25.5
2022/12/6,,32.5,,104.0
2022/12/7,198.0,0.2,147.0,130.0
2022/12/8,,118.0,,188.0
2022/12/9,,211.0,,75.0
2022/12/12,,117.0,,102.0
2022/12/13,,89.0,,138.0
2022/12/14,173.0,125.0,161.0,0.1
2022/12/15,,127.0,,114.0
2022/12/16,,24.0,,263.0
2022/12/19,,6.5,,299.0
2022/12/20,,0.9,,550.0
2022/12/21,159.0,0.1,117.0,480.0
2022/12/22,,291.0,,37.0
2022/12/23,,143.0,,72.0
2022/12/26,,150.0,,28.0
2022/12/27,,190.0,,7.5
2022/12/28,147.0,0.2,113.0,19.5
2022/12/29,,94.0,,132.0
2022/12/30,,123.0,,70.0
2023/1/3,,158.0,,11.0
2023/1/4,156.0,123.0,120.0,0.1
2023/1/5,,182.0,,69.0
2023/1/6,,218.0,,44.5
2023/1/9,,575.0,,3.2
2023/1/10,,615.0,,1.0
2023/1/11,216.0,555.0,175.0,0.3
2023/1/12,,210.0,,193.0
2023/1/13,,213.0,,130.0
2023/1/16,,262.0,,76.0
2023/1/17,,246.0,,66.0
2023/1/30,117.0,700.0,56.0,0.3
2023/1/31,,11.0,,139.0
2023/2/1,165.0,0.3,121.0,41.0
2023/2/2,,278.0,,35.5
2023/2/3,,266.0,,28.0
2023/2/6,,111.0,,46.5
2023/2/7,,87.0,,30.5
