,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數)
442,2021-10-27,17074.55,151.0,207.0,114.0,0.1,0.1596485952460673,0.12052940303345479,0,0,0,0,1401005.0,5.0,-0.0
443,2021-10-28,17041.63,,117.0,,111.0,,,0,0,0,0,1401005.0,5.0,-0.0
444,2021-10-29,16987.41,,67.0,,151.0,,,0,0,0,0,1401005.0,5.0,-0.0
445,2021-11-01,17068.24,,102.0,,57.0,,,0,0,0,0,1401005.0,5.0,0.0
446,2021-11-02,17065.97,,55.0,,46.5,,,0,0,0,0,1401005.0,5.0,-0.0
447,2021-11-03,17122.16,157.0,62.0,108.0,0.2,0.16553068881060048,0.11386824453213282,0,0,0,0,1401005.0,5.0,0.0
448,2021-11-04,17078.86,,127.0,,98.0,,,0,0,0,0,1401005.0,5.0,0.0
449,2021-11-05,17296.9,,253.0,,27.0,,,0,0,0,0,1401005.0,5.0,0.0
450,2021-11-08,17415.3,,378.0,,3.5,,,0,0,0,0,1401005.0,5.0,0.0
451,2021-11-09,17541.36,,500.0,,1.4,,,0,0,0,0,1401005.0,5.0,0.0
452,2021-11-10,17559.65,125.0,500.0,120.0,0.3,0.1285084184083163,0.12336808167198365,0,0,0,0,1401005.0,5.0,0.0
453,2021-11-11,17452.52,,75.0,,152.0,,,0,0,0,0,1401005.0,5.0,-0.0
454,2021-11-12,17518.13,,90.0,,96.0,,,0,0,0,0,1401005.0,5.0,0.0
455,2021-11-15,17634.47,,145.0,,29.0,,,0,0,0,0,1401005.0,5.0,0.0
456,2021-11-16,17693.13,,159.0,,7.3,,,0,0,0,0,1401005.0,5.0,0.0
457,2021-11-17,17764.04,123.0,172.0,93.0,0.2,0.12499734540761752,0.09451018799112544,0,0,0,0,1401005.0,5.0,0.0
458,2021-11-18,17841.37,,175.0,,56.0,,,0,0,0,0,1401005.0,5.0,0.0
459,2021-11-19,17818.31,,160.0,,50.0,,,0,0,0,0,1401005.0,5.0,-0.0
460,2021-11-22,17803.54,,132.0,,39.0,,,0,0,0,0,1401005.0,5.0,-0.0
461,2021-11-23,17666.12,,14.5,,92.0,,,0,0,0,0,1401005.0,5.0,-0.0
