,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數),Call進場口數,Put進場口數,Call策略近週報酬(點數),Put策略近週報酬(點數),策略每日報酬率,策略累積報酬率,每個時點最大策略累積資金(金額),Drawdown
540,2022-04-13,16021,158.0,0.1,142.0,189.0,0.17803479442729792,0.16000595448529306,0,0,0,0,3478795.0,3.0,-0.0,9.0,14.0,-0.0,301.0,0.06447181003000213,2.4787950000000016,3585895.0,-0.02986702064617062
541,2022-04-14,15706,,139.0,,140.0,,,0,0,0,0,3478095.0,3.0,-0.0,9.0,14.0,0.0,-1.0,-0.00020121910029191614,2.4780950000000015,3585895.0,-0.03006222993143971
542,2022-04-15,15610,,18.0,,338.0,,,0,0,0,0,3339495.0,3.0,0.0,9.0,14.0,-0.0,-198.0,-0.03984940031827766,2.3394950000000017,3585895.0,-0.06871366841471933
543,2022-04-18,15730,,4.7,,420.0,,,0,0,0,0,3282095.0,3.0,0.0,9.0,14.0,-0.0,-82.0,-0.017188227561352853,2.2820950000000018,3585895.0,-0.08472082980678464
544,2022-04-19,15829,,1.2,,300.0,,,0,0,0,0,3366095.0,3.0,-0.0,9.0,14.0,-0.0,120.0,0.02559340908779295,2.3660950000000014,3585895.0,-0.06129571557449395
545,2022-04-20,15883,175.0,0.1,131.0,175.0,0.19890373286060745,0.14889365145565472,0,0,0,0,3453595.0,3.0,-0.0,9.0,14.0,-0.0,125.0,0.02599451292967081,2.4535950000000017,3585895.0,-0.03689455491585782
546,2022-04-21,15749,,184.0,,91.0,,,0,0,0,0,3479495.0,3.0,-0.0,9.0,14.0,0.0,37.0,0.007499431751551544,2.4794950000000013,3585895.0,-0.029671811360901534
547,2022-04-22,15329,,92.0,,127.0,,,0,0,0,0,3454295.0,3.0,0.0,9.0,14.0,-0.0,-36.0,-0.007242430295200886,2.4542950000000014,3585895.0,-0.036699345630588735
548,2022-04-25,15342,,4.2,,453.0,,,0,0,0,0,3226095.0,3.0,0.0,9.0,14.0,-0.0,-326.0,-0.06606268428145246,2.2260950000000017,3585895.0,-0.10033757262831176
549,2022-04-26,15044,,1.2,,435.0,,,0,0,0,0,3238695.0,3.0,-0.0,9.0,14.0,-0.0,18.0,0.0039056506395502844,2.2386950000000017,3585895.0,-0.09682380549346815
550,2022-04-27,15145,220.0,0.1,158.0,750.0,0.2622351016688228,0.18833248210760908,0,1,0,1,3018195.0,3.0,0.0,9.0,14.0,-0.0,-315.0,-0.06808297786608497,2.0181950000000013,3585895.0,-0.1583147303532312
551,2022-04-28,15338,,264.0,,111.0,,,0,0,0,1,3912795.0,3.0,-50.0,9.0,14.0,0.0,1278.0,0.29640231992962685,2.912795000000002,3912795.0,0.0
