日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,價平買權近週報酬,價平賣權近週報酬,價平買權近週報酬(金額),價平賣權近週報酬(金額),訊號,策略損益(金額)
2021-01-19,,167.0,,26.0,124.0,-160.0,6200.0,-8000.0,1.0,6200.0
2021-01-20,226.0,16.0,143.0,0.1,-151.0,-25.9,-7550.0,-1295.0,1.0,-7550.0
2021-01-21,,498.0,,40.5,269.0,-105.5,13450.0,-5275.0,1.0,13450.0
2021-01-22,,354.0,,40.0,-144.0,-0.5,-7200.0,-25.0,1.0,-7200.0
2021-01-25,,287.0,,32.0,-67.0,-8.0,-3350.0,-400.0,1.0,-3350.0
2021-01-26,,70.0,,88.0,-217.0,56.0,-10850.0,2800.0,1.0,-10850.0
2021-01-27,194.0,49.0,153.0,0.1,-21.0,-87.9,-1050.0,-4395.0,1.0,-1050.0
2021-01-28,,67.0,,299.0,-130.0,143.0,-6500.0,7150.0,1.0,-6500.0
2021-01-29,,8.4,,550.0,-58.6,251.0,-2930.0,12550.0,1.0,-2930.0
2021-02-01,,16.5,,272.0,8.1,-278.0,405.0,-13900.0,1.0,405.0
2021-02-02,,144.0,,35.0,127.5,-237.0,6375.0,-11850.0,1.0,6375.0
2021-02-03,239.0,117.0,216.0,0.1,-27.0,-34.9,-1350.0,-1745.0,1.0,-1350.0
2021-02-04,,163.0,,217.0,-79.0,-2.0,-3950.0,-100.0,1.0,-3950.0
2021-02-05,,195.0,,143.0,32.0,-74.0,1600.0,-3700.0,1.0,1600.0
2021-02-17,222.0,580.0,134.0,0.3,385.0,-142.7,19250.0,-7134.999999999999,1.0,19250.0
2021-02-18,,223.0,,101.0,-2.0,-36.0,-100.0,-1800.0,1.0,-100.0
2021-02-19,,166.0,,107.0,-57.0,6.0,-2850.0,300.0,1.0,-2850.0
2021-02-22,,190.0,,59.0,24.0,-48.0,1200.0,-2400.0,1.0,1200.0
2021-02-23,,211.0,,19.5,21.0,-39.5,1050.0,-1975.0,1.0,1050.0
2021-02-24,227.0,0.1,147.0,64.0,-210.9,44.5,-10545.0,2225.0,1.0,-10545.0
2021-02-25,,340.0,,52.0,110.0,-98.0,5500.0,-4900.0,1.0,5500.0
2021-02-26,,88.0,,244.0,-252.0,192.0,-12600.0,9600.0,1.0,-12600.0
2021-03-02,,16.5,,221.0,-71.5,-23.0,-3575.0,-1150.0,1.0,-3575.0
2021-03-03,220.0,33.0,162.0,0.1,16.5,-220.9,825.0,-11045.0,1.0,825.0
