,rating_diff,after-tax interest coverage_change,interest coverage ratio_change,cash flow/ total debt_change,operating margin before dep._change,return on equity_change,total debt/ total assets_change,book/ market_change,interest/ average LTD_change,interest/ average total debt_change,cash balance/ total liabilities_change,free cash flow/ operating cash flow_change,total liabilities/ total tangible assets_change,total debt/ capital_change,total debt/ equity_change,asset turnover_change,receivables turnover_change,payables turnover_change,sales/invested capital_change,sales/stockholders equity_change,price/ book_change,shillers cyclically adjusted P/E ratio_change,enterprise value multiple_change,"price/ operating earnings (Basic, Excl. EI)_change","price/ operating earnings (Diluted, Excl. EI)_change","P/E (Diluted, Excl. EI)_change","P/E (Diluted, Incl. EI)_change",price/ sales_change,price/ cash flow_change,gross profit margin_change,after-tax return on average common equity_change,after-tax return on average stockholders' equity_change,gross profit/ total assets_change,common equity/invested capital_change,cash flow margin_change
120,-2.0,-0.176,-0.173,-0.188,-0.145,-0.219,0.032,0.242,-0.042,-0.043,-0.17,0.141,0.031,0.031,0.082,0.065,-0.487,0.028,0.082,0.117,-0.343,-0.318,-0.075,-0.191,-0.197,-0.16,-0.16,-0.423,-0.545,-0.016,-0.233,-0.233,0.048,-0.031,-0.118
121,-2.0,-5.107,-4.893,0.056,-1.934,-6.985,0.025,-0.021,-0.205,-0.234,1.775,2.214,0.08,0.02,0.024,0.071,0.13,0.0,0.091,0.068,-0.419,-1.067,-1.931,-1.256,-1.276,-1.279,-1.291,-0.729,-0.547,-1.823,-8.535,-7.162,-1.885,-0.019,-1.958
122,1.0,0.339,-0.413,0.084,-1.594,0.38,0.014,-0.494,-0.014,0.132,-0.5,-1.523,-0.002,-0.039,0.046,-0.097,-0.138,-0.14,-0.073,0.019,0.24,-4.13,-3.147,0.078,0.078,-0.152,-0.337,0.225,-0.123,-1.594,0.362,0.362,-1.591,-0.09,-0.56
123,-1.0,0.034,0.006,0.06,-0.166,-0.173,-0.031,0.347,0.0,0.0,2.4,-0.118,-0.04,-0.05,0.0,0.057,-0.085,0.0,0.202,0.14,-0.527,-1.479,-0.154,-0.45,-0.441,-0.407,-0.407,-0.555,-0.52,-0.154,-0.153,-0.18,-0.062,0.078,-0.127
124,2.0,0.965,1.512,-0.338,0.153,0.389,-0.158,-0.343,0.608,0.447,8.778,1.955,0.1,-0.365,-0.398,0.479,0.356,0.923,0.667,0.059,0.329,0.534,-0.244,-0.338,-0.34,-0.241,0.29,0.014,0.539,0.042,0.339,0.339,0.54,0.575,-0.298
125,-1.0,-0.564,-0.061,0.191,-0.024,-1.326,0.132,-0.184,0.09,0.015,-0.371,0.121,0.229,0.192,0.884,0.087,-0.014,-0.089,0.223,0.81,0.015,-2.02,-0.128,-0.51,-0.513,-2.9,-2.9,-0.566,-0.62,-0.029,-1.319,-1.319,0.058,-0.325,-0.384
126,2.0,0.427,0.417,0.3,0.074,0.341,-0.001,-0.266,0.0,-0.062,0.83,-0.052,0.12,-0.003,-0.003,0.036,0.042,-0.043,0.049,-0.015,0.337,0.655,0.114,0.05,0.05,-0.037,-0.037,0.321,0.004,-0.007,0.319,0.319,-0.02,0.066,0.112
127,3.0,-0.245,0.023,0.22,0.152,-0.6,-0.021,-0.129,-0.029,-0.108,1.094,0.621,-0.017,-0.045,-0.11,-0.177,-0.018,-0.063,-0.114,-0.252,0.095,0.036,0.047,0.079,0.069,1.196,2.858,0.27,0.102,0.152,-0.598,-0.598,-0.055,0.185,-0.03
128,3.0,-0.048,-0.016,-0.112,0.006,-0.187,-0.031,-0.304,0.918,-0.049,-0.073,0.031,0.142,-0.081,-0.049,-0.124,-0.069,-0.05,0.003,-0.144,0.221,0.14,0.254,0.288,0.335,0.385,0.385,0.303,0.582,0.051,-0.203,-0.203,-0.081,0.171,-0.028
129,2.0,0.383,0.279,-0.55,0.04,0.17,0.093,-0.154,-0.202,-0.241,-0.14,-0.151,0.291,0.251,0.193,-0.001,-0.077,0.199,-0.027,0.038,0.067,-0.0,0.124,-0.066,-0.063,-0.095,-0.095,0.026,0.98,0.004,0.167,0.167,-0.045,-0.061,0.124
130,3.0,1.083,1.063,0.432,0.082,0.028,0.075,-0.301,-0.549,-0.539,-0.04,0.003,0.416,0.393,0.132,-0.076,-0.218,-0.147,-0.028,-0.028,0.39,-0.026,0.391,0.23,0.23,0.225,0.225,0.364,0.088,0.082,0.025,0.025,0.0,0.0,0.098
131,1.0,-0.216,-0.162,1.077,0.059,-0.165,-0.076,0.33,-0.013,0.057,0.121,-0.077,0.674,-0.023,-0.116,-0.153,-0.202,0.151,-0.204,-0.188,-0.312,-3.533,0.28,-0.082,-0.087,-0.213,-0.213,-0.178,-0.139,-0.035,-0.174,-0.174,-0.184,-0.019,-0.011
132,2.0,-0.63,-0.406,-0.171,0.217,-0.711,0.236,-0.593,-0.26,-0.343,0.0,0.031,0.476,0.39,0.893,-0.473,-0.304,-0.347,-0.463,-0.192,0.646,0.782,1.463,0.91,0.91,5.433,0.244,1.143,-0.028,0.241,-0.72,-0.72,-0.344,-0.335,0.4
133,-1.0,-1.183,-1.475,-0.489,-0.632,-0.466,0.041,-0.237,0.046,0.047,-0.107,0.176,0.008,0.06,0.143,-0.004,0.05,0.059,0.0,0.093,0.103,0.512,1.658,-0.298,-0.298,1.21,0.53,0.034,1.191,-0.533,-0.483,-0.483,-0.537,-0.086,-33.5
134,-1.0,0.411,0.787,0.0,18.5,0.231,-0.021,-0.341,0.0,-0.013,0.238,22.06,0.019,-0.027,-0.059,-0.078,-0.064,0.064,-0.143,-0.172,-0.202,-20.511,-0.914,-0.449,-0.449,-0.412,-0.412,-0.157,0.723,-0.484,0.255,0.255,-0.55,0.034,0.83
